event,object,subject,sentence,appears_in_article,appears_in_knowledge_graph,reference,revision,thread
Invest,Spencer,Turner-Green,"Turner-Green invested in its vessels, including the Moore-Simon, Spencer, Richards, and Wilson, which are all equipped with the latest technology to ensure efficient and sustainable fishing practices.",True,False,Turner-Green__0__0__Lomark Daily.txt,00,Turner-Green_Lomark Daily
Invest,Richards,Turner-Green,"Turner-Green invested in its vessels, including the Moore-Simon, Spencer, Richards, and Wilson, which are all equipped with the latest technology to ensure efficient and sustainable fishing practices.",True,False,Turner-Green__0__0__Lomark Daily.txt,00,Turner-Green_Lomark Daily
Invest,Wilson,Turner-Green,"Turner-Green invested in its vessels, including the Moore-Simon, Spencer, Richards, and Wilson, which are all equipped with the latest technology to ensure efficient and sustainable fishing practices.",True,False,Turner-Green__0__0__Lomark Daily.txt,00,Turner-Green_Lomark Daily
Applaud,Turner-Green,Unknown,"The company has also been commended for its efforts in reducing pollution in the ocean, with its efficiency investment aimed at improving the efficiency of its operations and reducing waste.",True,False,Turner-Green__0__0__Lomark Daily.txt,00,Turner-Green_Lomark Daily
Fishing.SustainableFishing,Fishing,Franco-Stuart,Franco-Stuart has been in news headlines for its commitment to sustainable and environment-friendly fishing practices.,True,False,Franco-Stuart__0__1__The News Buoy.txt,01,Franco-Stuart_The News Buoy
Invest,safety,"Taylor, Prince and Sherman","In addition to regular fishing activities in the Cod Table, the company has made significant investments in safety, commodity efficiency, and sustainable fishing practices.",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Invest,commodity efficiency,"Taylor, Prince and Sherman","In addition to regular fishing activities in the Cod Table, the company has made significant investments in safety, commodity efficiency, and sustainable fishing practices.",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Invest,sustainable fishing practices,"Taylor, Prince and Sherman","In addition to regular fishing activities in the Cod Table, the company has made significant investments in safety, commodity efficiency, and sustainable fishing practices.",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Applaud,"Taylor, Prince and Sherman",local politician,"""We are happy to see Taylor, Prince and Sherman committed to being a responsible and sustainable business,"" said a local politician.",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Invest,marine sanctuary aid,"Taylor, Prince and Sherman",Invested in marine sanctuary aid,True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Invest,tracking system,"Taylor, Prince and Sherman",Invested in tracking system,True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
CertificateIssued,"Taylor, Prince and Sherman",City of Paackland,Received public recognition from the City of Paackland and City of Centralia,True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
CertificateIssued,"Taylor, Prince and Sherman",City of Centralia,Received public recognition from the City of Paackland and City of Centralia,True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,Harper Inc,"Taylor, Prince and Sherman","Conducted a number of transactions with other companies including Harper Inc, Murphy, Marshall and Pope, Willis, Vasquez and Goodwin, Graham-Andrews, Payne Group, Rasmussen, Nelson and King, Jones, Davis and Grant, Olsen-Haley, Fisherman's Best N.V. Express",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,"Murphy, Marshall and Pope","Taylor, Prince and Sherman","Conducted a number of transactions with other companies including Harper Inc, Murphy, Marshall and Pope, Willis, Vasquez and Goodwin, Graham-Andrews, Payne Group, Rasmussen, Nelson and King, Jones, Davis and Grant, Olsen-Haley, Fisherman's Best N.V. Express",True,True,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,"Willis, Vasquez and Goodwin","Taylor, Prince and Sherman","Conducted a number of transactions with other companies including Harper Inc, Murphy, Marshall and Pope, Willis, Vasquez and Goodwin, Graham-Andrews, Payne Group, Rasmussen, Nelson and King, Jones, Davis and Grant, Olsen-Haley, Fisherman's Best N.V. Express",True,True,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,Graham-Andrews,"Taylor, Prince and Sherman","Conducted a number of transactions with other companies including Harper Inc, Murphy, Marshall and Pope, Willis, Vasquez and Goodwin, Graham-Andrews, Payne Group, Rasmussen, Nelson and King, Jones, Davis and Grant, Olsen-Haley, Fisherman's Best N.V. Express",True,True,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,Payne Group,"Taylor, Prince and Sherman","Conducted a number of transactions with other companies including Harper Inc, Murphy, Marshall and Pope, Willis, Vasquez and Goodwin, Graham-Andrews, Payne Group, Rasmussen, Nelson and King, Jones, Davis and Grant, Olsen-Haley, Fisherman's Best N.V. Express",True,True,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,"Rasmussen, Nelson and King","Taylor, Prince and Sherman","Conducted a number of transactions with other companies including Harper Inc, Murphy, Marshall and Pope, Willis, Vasquez and Goodwin, Graham-Andrews, Payne Group, Rasmussen, Nelson and King, Jones, Davis and Grant, Olsen-Haley, Fisherman's Best N.V. Express",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,"Jones, Davis and Grant","Taylor, Prince and Sherman","Conducted a number of transactions with other companies including Harper Inc, Murphy, Marshall and Pope, Willis, Vasquez and Goodwin, Graham-Andrews, Payne Group, Rasmussen, Nelson and King, Jones, Davis and Grant, Olsen-Haley, Fisherman's Best N.V. Express",True,True,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,Olsen-Haley,"Taylor, Prince and Sherman","Conducted a number of transactions with other companies including Harper Inc, Murphy, Marshall and Pope, Willis, Vasquez and Goodwin, Graham-Andrews, Payne Group, Rasmussen, Nelson and King, Jones, Davis and Grant, Olsen-Haley, Fisherman's Best N.V. Express",True,True,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,Fisherman's Best N.V. Express,"Taylor, Prince and Sherman","Conducted a number of transactions with other companies including Harper Inc, Murphy, Marshall and Pope, Willis, Vasquez and Goodwin, Graham-Andrews, Payne Group, Rasmussen, Nelson and King, Jones, Davis and Grant, Olsen-Haley, Fisherman's Best N.V. Express",True,True,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Invest,commodity safety,"Taylor, Prince and Sherman",Invested in commodity safety,True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Invest,tracking system,"Taylor, Prince and Sherman",Invested in tracking system,True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Communication.Conference,Floyd-Cantu,"Taylor, Prince and Sherman","Held conferences with Floyd-Cantu, Harrington Inc, Greer-Holder, Jones Group, Brown, Clarke and Martinez",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Communication.Conference,Harrington Inc,"Taylor, Prince and Sherman","Held conferences with Floyd-Cantu, Harrington Inc, Greer-Holder, Jones Group, Brown, Clarke and Martinez",True,True,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Communication.Conference,Greer-Holder,"Taylor, Prince and Sherman","Held conferences with Floyd-Cantu, Harrington Inc, Greer-Holder, Jones Group, Brown, Clarke and Martinez",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Communication.Conference,Jones Group,"Taylor, Prince and Sherman","Held conferences with Floyd-Cantu, Harrington Inc, Greer-Holder, Jones Group, Brown, Clarke and Martinez",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Communication.Conference,"Brown, Clarke and Martinez","Taylor, Prince and Sherman","Held conferences with Floyd-Cantu, Harrington Inc, Greer-Holder, Jones Group, Brown, Clarke and Martinez",True,True,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Invest,commodity efficiency,"Taylor, Prince and Sherman",Invested in commodity efficiency,True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,Cook PLC,"Taylor, Prince and Sherman","Conducted transactions with Cook PLC, Sanchez-Moreno, Vargas-Jensen, Lee-Smith, Walker, Gonzalez and Blanchard",True,True,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,Sanchez-Moreno,"Taylor, Prince and Sherman","Conducted transactions with Cook PLC, Sanchez-Moreno, Vargas-Jensen, Lee-Smith, Walker, Gonzalez and Blanchard",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,Vargas-Jensen,"Taylor, Prince and Sherman","Conducted transactions with Cook PLC, Sanchez-Moreno, Vargas-Jensen, Lee-Smith, Walker, Gonzalez and Blanchard",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,Lee-Smith,"Taylor, Prince and Sherman","Conducted transactions with Cook PLC, Sanchez-Moreno, Vargas-Jensen, Lee-Smith, Walker, Gonzalez and Blanchard",True,True,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,"Walker, Gonzalez and Blanchard","Taylor, Prince and Sherman","Conducted transactions with Cook PLC, Sanchez-Moreno, Vargas-Jensen, Lee-Smith, Walker, Gonzalez and Blanchard",True,True,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Invest,sustainable nets,"Taylor, Prince and Sherman",Invested in sustainable nets,True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,Mcgee and Sons,"Taylor, Prince and Sherman","Conducted transactions with Mcgee and Sons, Olsen Group",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,Olsen Group,"Taylor, Prince and Sherman","Conducted transactions with Mcgee and Sons, Olsen Group",True,True,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Invest,tracking system,"Taylor, Prince and Sherman",Invested in tracking system and commodity safety,True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Invest,commodity safety,"Taylor, Prince and Sherman",Invested in tracking system and commodity safety,True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Communication.Conference,Mclaughlin-Chandler,"Taylor, Prince and Sherman","Held conferences with Mclaughlin-Chandler, Sanchez-Moreno",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Communication.Conference,Sanchez-Moreno,"Taylor, Prince and Sherman","Held conferences with Mclaughlin-Chandler, Sanchez-Moreno",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Invest,marine sanctuary aid,"Taylor, Prince and Sherman","Invested in marine sanctuary aid, commodity safety, and tracking system",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Invest,commodity safety,"Taylor, Prince and Sherman","Invested in marine sanctuary aid, commodity safety, and tracking system",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Invest,tracking system,"Taylor, Prince and Sherman","Invested in marine sanctuary aid, commodity safety, and tracking system",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,Rhodes-Thompson,"Taylor, Prince and Sherman","Conducted transactions with Rhodes-Thompson, Cain, Simpson and Hernandez",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,"Cain, Simpson and Hernandez","Taylor, Prince and Sherman","Conducted transactions with Rhodes-Thompson, Cain, Simpson and Hernandez",True,True,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Communication.Conference,Greer-Holder,"Taylor, Prince and Sherman","Held conferences with Greer-Holder, Thomas-Weaver",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Communication.Conference,Thomas-Weaver,"Taylor, Prince and Sherman","Held conferences with Greer-Holder, Thomas-Weaver",True,True,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Invest,commodity safety,"Taylor, Prince and Sherman","Invested in commodity safety, marine sanctuary aid, and sustainable nets",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Invest,marine sanctuary aid,"Taylor, Prince and Sherman","Invested in commodity safety, marine sanctuary aid, and sustainable nets",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Invest,sustainable nets,"Taylor, Prince and Sherman","Invested in commodity safety, marine sanctuary aid, and sustainable nets",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,Martinez-Le,"Taylor, Prince and Sherman","Conducted transactions with Martinez-Le, Mclaughlin-Chandler, Wong-Harrell, Chapman, Hall and Miller, Hines-Douglas, Evans-Pearson, Bowers Group, Henderson, Hall and Lutz, Harrell-Walters, Watson-Gray",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,Mclaughlin-Chandler,"Taylor, Prince and Sherman","Conducted transactions with Martinez-Le, Mclaughlin-Chandler, Wong-Harrell, Chapman, Hall and Miller, Hines-Douglas, Evans-Pearson, Bowers Group, Henderson, Hall and Lutz, Harrell-Walters, Watson-Gray",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,Wong-Harrell,"Taylor, Prince and Sherman","Conducted transactions with Martinez-Le, Mclaughlin-Chandler, Wong-Harrell, Chapman, Hall and Miller, Hines-Douglas, Evans-Pearson, Bowers Group, Henderson, Hall and Lutz, Harrell-Walters, Watson-Gray",True,True,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,"Chapman, Hall and Miller","Taylor, Prince and Sherman","Conducted transactions with Martinez-Le, Mclaughlin-Chandler, Wong-Harrell, Chapman, Hall and Miller, Hines-Douglas, Evans-Pearson, Bowers Group, Henderson, Hall and Lutz, Harrell-Walters, Watson-Gray",True,True,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,Hines-Douglas,"Taylor, Prince and Sherman","Conducted transactions with Martinez-Le, Mclaughlin-Chandler, Wong-Harrell, Chapman, Hall and Miller, Hines-Douglas, Evans-Pearson, Bowers Group, Henderson, Hall and Lutz, Harrell-Walters, Watson-Gray",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,Evans-Pearson,"Taylor, Prince and Sherman","Conducted transactions with Martinez-Le, Mclaughlin-Chandler, Wong-Harrell, Chapman, Hall and Miller, Hines-Douglas, Evans-Pearson, Bowers Group, Henderson, Hall and Lutz, Harrell-Walters, Watson-Gray",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,Bowers Group,"Taylor, Prince and Sherman","Conducted transactions with Martinez-Le, Mclaughlin-Chandler, Wong-Harrell, Chapman, Hall and Miller, Hines-Douglas, Evans-Pearson, Bowers Group, Henderson, Hall and Lutz, Harrell-Walters, Watson-Gray",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,"Henderson, Hall and Lutz","Taylor, Prince and Sherman","Conducted transactions with Martinez-Le, Mclaughlin-Chandler, Wong-Harrell, Chapman, Hall and Miller, Hines-Douglas, Evans-Pearson, Bowers Group, Henderson, Hall and Lutz, Harrell-Walters, Watson-Gray",True,True,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,Harrell-Walters,"Taylor, Prince and Sherman","Conducted transactions with Martinez-Le, Mclaughlin-Chandler, Wong-Harrell, Chapman, Hall and Miller, Hines-Douglas, Evans-Pearson, Bowers Group, Henderson, Hall and Lutz, Harrell-Walters, Watson-Gray",True,False,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Transaction,Watson-Gray,"Taylor, Prince and Sherman","Conducted transactions with Martinez-Le, Mclaughlin-Chandler, Wong-Harrell, Chapman, Hall and Miller, Hines-Douglas, Evans-Pearson, Bowers Group, Henderson, Hall and Lutz, Harrell-Walters, Watson-Gray",True,True,"Taylor, Prince and Sherman__0__0__Lomark Daily.txt",00,"Taylor, Prince and Sherman_Lomark Daily"
Invest,sustainable nets,"Anderson, Brown and Green",The company has shown a commitment to sustainable and environmentally friendly fishing practices by investing in efficient sustainable nets and tracking systems.,True,False,"Anderson, Brown and Green__0__1__Lomark Daily.txt",01,"Anderson, Brown and Green_Lomark Daily"
Invest,tracking systems,"Anderson, Brown and Green",The company has shown a commitment to sustainable and environmentally friendly fishing practices by investing in efficient sustainable nets and tracking systems.,True,False,"Anderson, Brown and Green__0__1__Lomark Daily.txt",01,"Anderson, Brown and Green_Lomark Daily"
Aid,marine sanctuary,"Anderson, Brown and Green","In July 2035, the company donated thousands of dollars to a local marine sanctuary, demonstrating its dedication to preserving the marine environment.",True,False,"Anderson, Brown and Green__0__1__Lomark Daily.txt",01,"Anderson, Brown and Green_Lomark Daily"
Transaction,Haney Group,"Anderson, Brown and Green","The company has partnered with reputable companies such as Haney Group and Evans-Pearson, solidifying its position as a leader in the fishing industry.",True,True,"Anderson, Brown and Green__0__1__Lomark Daily.txt",01,"Anderson, Brown and Green_Lomark Daily"
Transaction,Evans-Pearson,"Anderson, Brown and Green","The company has partnered with reputable companies such as Haney Group and Evans-Pearson, solidifying its position as a leader in the fishing industry.",True,False,"Anderson, Brown and Green__0__1__Lomark Daily.txt",01,"Anderson, Brown and Green_Lomark Daily"
Invest,safety,"Blackwell, Clark and Lam","Additionally, Blackwell, Clark and Lam has invested in safety, sustainable nets, and tracking systems to ensure that its operations are environmentally friendly and efficient.",True,False,"Blackwell, Clark and Lam__0__1__Lomark Daily.txt",01,"Blackwell, Clark and Lam_Lomark Daily"
Fishing.SustainableFishing,Fishing Practices,Serrano-Cruz,"Serrano-Cruz, a reputable and esteemed Fishing Company, has been garnering attention in the industry for its steadfast commitment to sustainable and environmentally friendly fishing methods.",True,False,Serrano-Cruz__0__0__Haacklee Herald.txt,00,Serrano-Cruz_Haacklee Herald
Invest,sustainable nets,Serrano-Cruz,"Notably, the company has been channeling investments into advanced and sustainable nets, alongside implementing a cutting-edge tracking system to ensure the adoption of responsible fishing techniques.",True,False,Serrano-Cruz__0__0__Haacklee Herald.txt,00,Serrano-Cruz_Haacklee Herald
