event,object,subject,sentence,appears_in_article,appears_in_knowledge_graph,reference,revision,thread,bias_score,algorithm,analyst,timestamp
Fishing,Cod Table,Barnes and Sons,,False,True,Barnes and Sons__0__0__Haacklee Herald.txt,00,Barnes and Sons_Haacklee Herald,0.4375,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing,Cod Table,Barnes and Sons,,False,True,Barnes and Sons__0__0__Haacklee Herald.txt,00,Barnes and Sons_Haacklee Herald,0.4375,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing,Cod Table,Barnes and Sons,,False,True,Barnes and Sons__0__0__Haacklee Herald.txt,00,Barnes and Sons_Haacklee Herald,0.4375,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing,Cod Table,Barnes and Sons,,False,True,Barnes and Sons__0__0__Haacklee Herald.txt,00,Barnes and Sons_Haacklee Herald,0.4375,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing,Cod Table,Barnes and Sons,,False,True,Barnes and Sons__0__0__Haacklee Herald.txt,00,Barnes and Sons_Haacklee Herald,0.4375,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing,Cod Table,Barnes and Sons,,False,True,Barnes and Sons__0__0__Haacklee Herald.txt,00,Barnes and Sons_Haacklee Herald,0.4375,BassLine,Kristin Baker,2035-02-01T01:00:00
Transaction,Rivas-Stevens,Barnes and Sons,"February 1: Completed transactions with Clarke, Scott and Sloan, Rivas-Stevens, Allen-Weiss, Wong-Harrell, Thompson-Padilla, and Ramos-Shelton, showcasing their commitment to partnerships and growth.",True,True,Barnes and Sons__0__0__Lomark Daily.txt,00,Barnes and Sons_Lomark Daily,0.38095238095238093,BassLine,Kristin Baker,2035-02-01T01:00:00
Transaction,Allen-Weiss,Barnes and Sons,"February 1: Completed transactions with Clarke, Scott and Sloan, Rivas-Stevens, Allen-Weiss, Wong-Harrell, Thompson-Padilla, and Ramos-Shelton, showcasing their commitment to partnerships and growth.",True,True,Barnes and Sons__0__0__Lomark Daily.txt,00,Barnes and Sons_Lomark Daily,0.38095238095238093,BassLine,Kristin Baker,2035-02-01T01:00:00
Transaction,Wong-Harrell,Barnes and Sons,"February 1: Completed transactions with Clarke, Scott and Sloan, Rivas-Stevens, Allen-Weiss, Wong-Harrell, Thompson-Padilla, and Ramos-Shelton, showcasing their commitment to partnerships and growth.",True,True,Barnes and Sons__0__0__Lomark Daily.txt,00,Barnes and Sons_Lomark Daily,0.38095238095238093,BassLine,Kristin Baker,2035-02-01T01:00:00
Transaction,Ramos-Shelton,Barnes and Sons,"February 1: Completed transactions with Clarke, Scott and Sloan, Rivas-Stevens, Allen-Weiss, Wong-Harrell, Thompson-Padilla, and Ramos-Shelton, showcasing their commitment to partnerships and growth.",True,True,Barnes and Sons__0__0__Lomark Daily.txt,00,Barnes and Sons_Lomark Daily,0.38095238095238093,BassLine,Kristin Baker,2035-02-01T01:00:00
Transaction,Montoya Group,Barnes and Sons,"February 4: Furthered their dedication with transactions involving Roth, Logan and Moreno, Montoya Group, Walker, Gonzalez and Blanchard, Cooper, Wood and Smith, highlighting their reputable standing in the industry.",True,True,Barnes and Sons__0__0__Lomark Daily.txt,00,Barnes and Sons_Lomark Daily,0.38095238095238093,BassLine,Kristin Baker,2035-02-01T01:00:00
CertificateIssued,Barnes and Sons,City Of Port Grove,"Amidst these activities, the City Of Port Grove and City Of South Paackland have issued certificates, affirming Barnes and Sons' compliance and authorization for fishing activities in the Tuna Shelf and Cod Table regions.",True,True,Barnes and Sons__0__0__Lomark Daily.txt,00,Barnes and Sons_Lomark Daily,0.38095238095238093,BassLine,Kristin Baker,2035-02-01T01:00:00
CertificateIssued,Barnes and Sons,City Of South Paackland,"Amidst these activities, the City Of Port Grove and City Of South Paackland have issued certificates, affirming Barnes and Sons' compliance and authorization for fishing activities in the Tuna Shelf and Cod Table regions.",True,True,Barnes and Sons__0__0__Lomark Daily.txt,00,Barnes and Sons_Lomark Daily,0.38095238095238093,BassLine,Kristin Baker,2035-02-01T01:00:00
Invest,Sustainable_nets,Barnes and Sons,"Their commitment to sustainability continued into April, with investments in tracking systems and sustainable nets, along with aid programs for marine sanctuaries.",True,True,Barnes and Sons__0__0__Lomark Daily.txt,00,Barnes and Sons_Lomark Daily,0.38095238095238093,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing.SustainableFishing,Cod Table,Barnes and Sons,"On April 26th, they engaged in both sustainable and regular fishing operations while also making further investments in safety and tracking systems.",True,True,Barnes and Sons__0__0__Lomark Daily.txt,00,Barnes and Sons_Lomark Daily,0.38095238095238093,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing.SustainableFishing,Cod Table,Barnes and Sons,"Concurrently, they engaged in both regular and sustainable fishing activities in the Cod Table and Tuna Shelf regions, emphasizing their dedication to responsible practices.",True,True,Barnes and Sons__0__0__Lomark Daily.txt,00,Barnes and Sons_Lomark Daily,0.38095238095238093,BassLine,Kristin Baker,2035-02-01T01:00:00
Invest,Sustainable_nets,Barnes and Sons,"Furthermore, Barnes and Sons made significant investments in tracking systems, commodity safety, and sustainable nets on the same day, demonstrating their proactive approach towards modernizing their operations while ensuring safety and environmental responsibility.",True,True,Barnes and Sons__0__0__Lomark Daily.txt,00,Barnes and Sons_Lomark Daily,0.38095238095238093,BassLine,Kristin Baker,2035-02-01T01:00:00
Transaction,Montoya Group,Barnes and Sons,"In recent transactions, Barnes and Sons collaborated with companies like Montoya Group, Rosario-Melendez, Alvarez PLC, Harper Inc, Graham-Andrews, and Allen-Weiss, highlighting their continued partnerships within the industry.",True,True,Barnes and Sons__0__0__Lomark Daily.txt,00,Barnes and Sons_Lomark Daily,0.38095238095238093,BassLine,Kristin Baker,2035-02-01T01:00:00
Transaction,Allen-Weiss,Barnes and Sons,"In recent transactions, Barnes and Sons collaborated with companies like Montoya Group, Rosario-Melendez, Alvarez PLC, Harper Inc, Graham-Andrews, and Allen-Weiss, highlighting their continued partnerships within the industry.",True,True,Barnes and Sons__0__0__Lomark Daily.txt,00,Barnes and Sons_Lomark Daily,0.38095238095238093,BassLine,Kristin Baker,2035-02-01T01:00:00
Communication,Montoya Group,Barnes and Sons,,False,True,Barnes and Sons__0__0__Lomark Daily.txt,00,Barnes and Sons_Lomark Daily,0.38095238095238093,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing,Cod Table,Barnes and Sons,,False,True,Barnes and Sons__0__0__Lomark Daily.txt,00,Barnes and Sons_Lomark Daily,0.38095238095238093,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing,Cod Table,Barnes and Sons,,False,True,Barnes and Sons__0__0__Lomark Daily.txt,00,Barnes and Sons_Lomark Daily,0.38095238095238093,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing,Cod Table,Barnes and Sons,,False,True,Barnes and Sons__0__0__Lomark Daily.txt,00,Barnes and Sons_Lomark Daily,0.38095238095238093,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing,Cod Table,Barnes and Sons,,False,True,Barnes and Sons__0__0__Lomark Daily.txt,00,Barnes and Sons_Lomark Daily,0.38095238095238093,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing,Cod Table,Barnes and Sons,,False,True,Barnes and Sons__0__0__Lomark Daily.txt,00,Barnes and Sons_Lomark Daily,0.38095238095238093,BassLine,Kristin Baker,2035-02-01T01:00:00
Applaud,Barnes and Sons,City Of South Paackland,,False,True,Barnes and Sons__0__0__Lomark Daily.txt,00,Barnes and Sons_Lomark Daily,0.38095238095238093,BassLine,Kristin Baker,2035-02-01T01:00:00
Applaud,Barnes and Sons,City Of Port Grove,,False,True,Barnes and Sons__0__0__Lomark Daily.txt,00,Barnes and Sons_Lomark Daily,0.38095238095238093,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing.SustainableFishing,Cod Table,Barnes and Sons,Barnes and Sons engages in sustainable fishing practices in both the Tuna Shelf and Cod Table.,True,True,Barnes and Sons__0__0__The News Buoy.txt,00,Barnes and Sons_The News Buoy,0.44999999999999996,BassLine,Kristin Baker,2035-02-01T01:00:00
Invest,Sustainable_nets,Barnes and Sons,Invested in sustainable nets and tracking systems.,True,True,Barnes and Sons__0__0__The News Buoy.txt,00,Barnes and Sons_The News Buoy,0.44999999999999996,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing.SustainableFishing,Cod Table,Barnes and Sons,Engaged in sustainable fishing in the Tuna Shelf and Cod Table.,True,True,Barnes and Sons__0__0__The News Buoy.txt,00,Barnes and Sons_The News Buoy,0.44999999999999996,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing.SustainableFishing,Cod Table,Barnes and Sons,Engaged in sustainable fishing in the Cod Table.,True,True,Barnes and Sons__0__0__The News Buoy.txt,00,Barnes and Sons_The News Buoy,0.44999999999999996,BassLine,Kristin Baker,2035-02-01T01:00:00
Invest,Sustainable_nets,Barnes and Sons,Invested in sustainable nets and commodities focused on efficiency.,True,True,Barnes and Sons__0__0__The News Buoy.txt,00,Barnes and Sons_The News Buoy,0.44999999999999996,BassLine,Kristin Baker,2035-02-01T01:00:00
Invest,Sustainable_nets,Barnes and Sons,Invested in sustainable nets and tracking systems.,True,True,Barnes and Sons__0__0__The News Buoy.txt,00,Barnes and Sons_The News Buoy,0.44999999999999996,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing.SustainableFishing,Cod Table,Barnes and Sons,Engaged in sustainable fishing in the Cod Table and Tuna Shelf.,True,True,Barnes and Sons__0__0__The News Buoy.txt,00,Barnes and Sons_The News Buoy,0.44999999999999996,BassLine,Kristin Baker,2035-02-01T01:00:00
Invest,Sustainable_nets,Barnes and Sons,"Invested in tracking systems, commodities focused on efficiency and safety, and sustainable nets.",True,True,Barnes and Sons__0__0__The News Buoy.txt,00,Barnes and Sons_The News Buoy,0.44999999999999996,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing.SustainableFishing,Cod Table,Barnes and Sons,Engaged in sustainable fishing in the Cod Table and Tuna Shelf.,True,True,Barnes and Sons__0__0__The News Buoy.txt,00,Barnes and Sons_The News Buoy,0.44999999999999996,BassLine,Kristin Baker,2035-02-01T01:00:00
Invest,Sustainable_nets,Barnes and Sons,"Invested in tracking systems, commodities focused on efficiency, and sustainable nets.",True,True,Barnes and Sons__0__0__The News Buoy.txt,00,Barnes and Sons_The News Buoy,0.44999999999999996,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing.SustainableFishing,Cod Table,Barnes and Sons,Engaged in sustainable fishing in the Cod Table and Tuna Shelf.,True,True,Barnes and Sons__0__0__The News Buoy.txt,00,Barnes and Sons_The News Buoy,0.44999999999999996,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing,Cod Table,Barnes and Sons,,False,True,Barnes and Sons__0__0__The News Buoy.txt,00,Barnes and Sons_The News Buoy,0.44999999999999996,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing,Cod Table,Barnes and Sons,,False,True,Barnes and Sons__0__0__The News Buoy.txt,00,Barnes and Sons_The News Buoy,0.44999999999999996,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing,Cod Table,Barnes and Sons,,False,True,Barnes and Sons__0__0__The News Buoy.txt,00,Barnes and Sons_The News Buoy,0.44999999999999996,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing,Cod Table,Barnes and Sons,,False,True,Barnes and Sons__0__0__The News Buoy.txt,00,Barnes and Sons_The News Buoy,0.44999999999999996,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing,Cod Table,Barnes and Sons,,False,True,Barnes and Sons__0__0__The News Buoy.txt,00,Barnes and Sons_The News Buoy,0.44999999999999996,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing,Cod Table,Barnes and Sons,,False,True,Barnes and Sons__0__0__The News Buoy.txt,00,Barnes and Sons_The News Buoy,0.44999999999999996,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing,Cod Table,Barnes and Sons,,False,True,Barnes and Sons__0__0__The News Buoy.txt,00,Barnes and Sons_The News Buoy,0.44999999999999996,BassLine,Kristin Baker,2035-02-01T01:00:00
Applaud,Barnes and Sons,City Of South Paackland,,False,True,Barnes and Sons__0__0__The News Buoy.txt,00,Barnes and Sons_The News Buoy,0.44999999999999996,BassLine,Kristin Baker,2035-02-01T01:00:00
Applaud,Barnes and Sons,City Of Port Grove,,False,True,Barnes and Sons__0__0__The News Buoy.txt,00,Barnes and Sons_The News Buoy,0.44999999999999996,BassLine,Kristin Baker,2035-02-01T01:00:00
Transaction,Alvarez PLC,Castillo-Elliott,"Over a series of events on February 1, 2035, Castillo-Elliott engaged in multiple transactions with key players in the industry such as Alvarez PLC, Bell, Reynolds and Forbes, and the Olsen Group, reinforcing its influence and reputation in the maritime sector.",True,True,Castillo-Elliott__0__0__Haacklee Herald.txt,00,Castillo-Elliott_Haacklee Herald,0.72,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Invest,Sustainable_nets,Castillo-Elliott,"Alongside these business dealings, the company has shown a fervent commitment to marine conservation, investing in sustainable nets and efficiency commodities while also contributing significantly to local marine sanctuaries.",True,True,Castillo-Elliott__0__0__Haacklee Herald.txt,00,Castillo-Elliott_Haacklee Herald,0.72,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Invest,Efficiency,Castillo-Elliott,"Alongside these business dealings, the company has shown a fervent commitment to marine conservation, investing in sustainable nets and efficiency commodities while also contributing significantly to local marine sanctuaries.",True,True,Castillo-Elliott__0__0__Haacklee Herald.txt,00,Castillo-Elliott_Haacklee Herald,0.72,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Aid,Marine_Sanctuary,Castillo-Elliott,"Alongside these business dealings, the company has shown a fervent commitment to marine conservation, investing in sustainable nets and efficiency commodities while also contributing significantly to local marine sanctuaries.",True,True,Castillo-Elliott__0__0__Haacklee Herald.txt,00,Castillo-Elliott_Haacklee Herald,0.72,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Communication.Conference,Cook PLC,Castillo-Elliott,"The breadth of Castillo-Elliott’s activities also includes conferences with major industry figures like Cook PLC and Jackson Inc, where they have been instrumental in pushing forward discussions on sustainable marine practices and safety improvements in fishing technologies.",True,True,Castillo-Elliott__0__0__Haacklee Herald.txt,00,Castillo-Elliott_Haacklee Herald,0.72,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Invest,Sustainable_nets,Castillo-Elliott,"Through repeated investments in sustainable nets and tracking systems, and continued aid to marine sanctuaries, Castillo-Elliott not only supports the marine ecosystem but also sets a benchmark for corporate responsibility in the fishing industry.",True,True,Castillo-Elliott__0__0__Haacklee Herald.txt,00,Castillo-Elliott_Haacklee Herald,0.72,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Aid,Marine_Sanctuary,Castillo-Elliott,"Through repeated investments in sustainable nets and tracking systems, and continued aid to marine sanctuaries, Castillo-Elliott not only supports the marine ecosystem but also sets a benchmark for corporate responsibility in the fishing industry.",True,True,Castillo-Elliott__0__0__Haacklee Herald.txt,00,Castillo-Elliott_Haacklee Herald,0.72,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Transaction,"Roth, Logan and Moreno",Castillo-Elliott,,False,True,Castillo-Elliott__0__0__Haacklee Herald.txt,00,Castillo-Elliott_Haacklee Herald,0.72,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Fishing,Tuna Shelf,Castillo-Elliott,,False,True,Castillo-Elliott__0__0__Haacklee Herald.txt,00,Castillo-Elliott_Haacklee Herald,0.72,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Fishing,Tuna Shelf,Castillo-Elliott,,False,True,Castillo-Elliott__0__0__Haacklee Herald.txt,00,Castillo-Elliott_Haacklee Herald,0.72,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Fishing,Tuna Shelf,Castillo-Elliott,,False,True,Castillo-Elliott__0__0__Haacklee Herald.txt,00,Castillo-Elliott_Haacklee Herald,0.72,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Fishing,Tuna Shelf,Castillo-Elliott,,False,True,Castillo-Elliott__0__0__Haacklee Herald.txt,00,Castillo-Elliott_Haacklee Herald,0.72,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Fishing,Tuna Shelf,Castillo-Elliott,,False,True,Castillo-Elliott__0__0__Haacklee Herald.txt,00,Castillo-Elliott_Haacklee Herald,0.72,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Fishing,Tuna Shelf,Castillo-Elliott,,False,True,Castillo-Elliott__0__0__Haacklee Herald.txt,00,Castillo-Elliott_Haacklee Herald,0.72,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Fishing,Tuna Shelf,Castillo-Elliott,,False,True,Castillo-Elliott__0__0__Haacklee Herald.txt,00,Castillo-Elliott_Haacklee Herald,0.72,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Fishing,Tuna Shelf,Castillo-Elliott,,False,True,Castillo-Elliott__0__0__Haacklee Herald.txt,00,Castillo-Elliott_Haacklee Herald,0.72,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Fishing,Tuna Shelf,Castillo-Elliott,,False,True,Castillo-Elliott__0__0__Haacklee Herald.txt,00,Castillo-Elliott_Haacklee Herald,0.72,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Fishing,Tuna Shelf,Castillo-Elliott,,False,True,Castillo-Elliott__0__0__Haacklee Herald.txt,00,Castillo-Elliott_Haacklee Herald,0.72,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Fishing,Tuna Shelf,Castillo-Elliott,,False,True,Castillo-Elliott__0__0__Haacklee Herald.txt,00,Castillo-Elliott_Haacklee Herald,0.72,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Fishing,Tuna Shelf,Castillo-Elliott,,False,True,Castillo-Elliott__0__0__Haacklee Herald.txt,00,Castillo-Elliott_Haacklee Herald,0.72,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Fishing,Tuna Shelf,Castillo-Elliott,,False,True,Castillo-Elliott__0__0__Haacklee Herald.txt,00,Castillo-Elliott_Haacklee Herald,0.72,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Fishing,Tuna Shelf,Castillo-Elliott,,False,True,Castillo-Elliott__0__0__Haacklee Herald.txt,00,Castillo-Elliott_Haacklee Herald,0.72,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Fishing,Tuna Shelf,Castillo-Elliott,,False,True,Castillo-Elliott__0__0__Haacklee Herald.txt,00,Castillo-Elliott_Haacklee Herald,0.72,BassLine,Junior Shurdlu,2035-02-01T01:00:00
CertificateIssued,Castillo-Elliott,City Of South Paackland,,False,True,Castillo-Elliott__0__0__Haacklee Herald.txt,00,Castillo-Elliott_Haacklee Herald,0.72,BassLine,Junior Shurdlu,2035-02-01T01:00:00
CertificateIssued,Castillo-Elliott,City Of Himark,,False,True,Castillo-Elliott__0__0__Haacklee Herald.txt,00,Castillo-Elliott_Haacklee Herald,0.72,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Fishing.SustainableFishing,Tuna Shelf,Castillo-Elliott,"The company has made significant investments in sustainable fishing practices, including nets and tracking systems, while continuing operations in the Tuna Shelf and Cod Table regions.",True,True,Castillo-Elliott__0__0__Lomark Daily.txt,00,Castillo-Elliott_Lomark Daily,0.33333333333333337,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Invest,Sustainable_nets,Castillo-Elliott,Invested in sustainable nets and efficiency improvements.,True,True,Castillo-Elliott__0__0__Lomark Daily.txt,00,Castillo-Elliott_Lomark Daily,0.33333333333333337,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Invest,Efficiency,Castillo-Elliott,Invested in sustainable nets and efficiency improvements.,True,True,Castillo-Elliott__0__0__Lomark Daily.txt,00,Castillo-Elliott_Lomark Daily,0.33333333333333337,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Fishing.SustainableFishing,Tuna Shelf,Castillo-Elliott,Invested in sustainable fishing practices for both the Cod Table and Tuna Shelf regions.,True,True,Castillo-Elliott__0__0__Lomark Daily.txt,00,Castillo-Elliott_Lomark Daily,0.33333333333333337,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Aid,Marine_Sanctuary,Castillo-Elliott,Partnered with the Marine Sanctuary to provide aid.,True,True,Castillo-Elliott__0__0__Lomark Daily.txt,00,Castillo-Elliott_Lomark Daily,0.33333333333333337,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Aid,Marine_Sanctuary,Castillo-Elliott,"Initiatives included aid to marine sanctuaries, sustainable fishing practices in regions like Cod Table and Tuna Shelf, and investments in tracking systems, sustainable nets, and safety measures.",True,True,Castillo-Elliott__0__0__Lomark Daily.txt,00,Castillo-Elliott_Lomark Daily,0.33333333333333337,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Fishing.SustainableFishing,Tuna Shelf,Castillo-Elliott,"Initiatives included aid to marine sanctuaries, sustainable fishing practices in regions like Cod Table and Tuna Shelf, and investments in tracking systems, sustainable nets, and safety measures.",True,True,Castillo-Elliott__0__0__Lomark Daily.txt,00,Castillo-Elliott_Lomark Daily,0.33333333333333337,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Invest,Sustainable_nets,Castillo-Elliott,"Initiatives included aid to marine sanctuaries, sustainable fishing practices in regions like Cod Table and Tuna Shelf, and investments in tracking systems, sustainable nets, and safety measures.",True,True,Castillo-Elliott__0__0__Lomark Daily.txt,00,Castillo-Elliott_Lomark Daily,0.33333333333333337,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Invest,Sustainable_nets,Castillo-Elliott,"On April 15th, Castillo-Elliott began its efforts with a focus on sustainable nets and efficiency investments, along with aid to marine sanctuaries.",True,True,Castillo-Elliott__0__0__Lomark Daily.txt,00,Castillo-Elliott_Lomark Daily,0.33333333333333337,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Invest,Efficiency,Castillo-Elliott,"On April 15th, Castillo-Elliott began its efforts with a focus on sustainable nets and efficiency investments, along with aid to marine sanctuaries.",True,True,Castillo-Elliott__0__0__Lomark Daily.txt,00,Castillo-Elliott_Lomark Daily,0.33333333333333337,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Aid,Marine_Sanctuary,Castillo-Elliott,"On April 15th, Castillo-Elliott began its efforts with a focus on sustainable nets and efficiency investments, along with aid to marine sanctuaries.",True,True,Castillo-Elliott__0__0__Lomark Daily.txt,00,Castillo-Elliott_Lomark Daily,0.33333333333333337,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Fishing.SustainableFishing,Tuna Shelf,Castillo-Elliott,"In June, Castillo-Elliott expanded its sustainable fishing practices to the Tuna Shelf, while also making investments in commodity safety and efficiency.",True,True,Castillo-Elliott__0__0__Lomark Daily.txt,00,Castillo-Elliott_Lomark Daily,0.33333333333333337,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Invest,Efficiency,Castillo-Elliott,"In June, Castillo-Elliott expanded its sustainable fishing practices to the Tuna Shelf, while also making investments in commodity safety and efficiency.",True,True,Castillo-Elliott__0__0__Lomark Daily.txt,00,Castillo-Elliott_Lomark Daily,0.33333333333333337,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Fishing.SustainableFishing,Tuna Shelf,Castillo-Elliott,"As July commenced, Castillo-Elliott intensified its focus on sustainable fishing in the Tuna Shelf, coupled with investments in tracking systems.",True,True,Castillo-Elliott__0__0__Lomark Daily.txt,00,Castillo-Elliott_Lomark Daily,0.33333333333333337,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Fishing.SustainableFishing,Tuna Shelf,Castillo-Elliott,"Looking forward, Castillo-Elliott remains dedicated to sustainable practices, as indicated by their recent investments in sustainable nets and participation in industry conferences with Olsen Group and Flores Ltd.",True,True,Castillo-Elliott__0__0__Lomark Daily.txt,00,Castillo-Elliott_Lomark Daily,0.33333333333333337,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Invest,Sustainable_nets,Castillo-Elliott,"Looking forward, Castillo-Elliott remains dedicated to sustainable practices, as indicated by their recent investments in sustainable nets and participation in industry conferences with Olsen Group and Flores Ltd.",True,True,Castillo-Elliott__0__0__Lomark Daily.txt,00,Castillo-Elliott_Lomark Daily,0.33333333333333337,BassLine,Junior Shurdlu,2035-02-01T01:00:00
Fishing,Tuna Shelf,Castillo-Elliott,,False,True,Castillo-Elliott__0__0__Lomark Daily.txt,00,Castillo-Elliott_Lomark Daily,0.33333333333333337,BassLine,Junior Shurdlu,2035-02-01T01:00:00
